,filename,class
0,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/321_100.jpg,1
1,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/322_100.jpg,1
2,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/323_100.jpg,1
3,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/324_100.jpg,1
4,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/325_100.jpg,1
5,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/326_100.jpg,1
6,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/327_100.jpg,1
7,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/32_100.jpg,1
8,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/33_100.jpg,1
9,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/34_100.jpg,1
10,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/35_100.jpg,1
11,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/36_100.jpg,1
12,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/37_100.jpg,1
13,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/38_100.jpg,1
14,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/39_100.jpg,1
15,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/3_100.jpg,1
16,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/40_100.jpg,1
17,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/41_100.jpg,1
18,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/42_100.jpg,1
19,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/43_100.jpg,1
20,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/44_100.jpg,1
21,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/45_100.jpg,1
22,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/46_100.jpg,1
23,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/47_100.jpg,1
24,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/48_100.jpg,1
25,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/49_100.jpg,1
26,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/4_100.jpg,1
27,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/50_100.jpg,1
28,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/51_100.jpg,1
29,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/52_100.jpg,1
30,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/53_100.jpg,1
31,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/54_100.jpg,1
32,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/55_100.jpg,1
33,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/56_100.jpg,1
34,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/57_100.jpg,1
35,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/58_100.jpg,1
36,E:\Tensorflow_Automatic_Training/fruits-360/Test/Apple Braeburn/59_100.jpg,1
